Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,169.68783569335938,170.88556456408185,168.65531949719002,170.47255808561408,121465900
2015-01-05,166.6233673095703,168.8122970325031,166.31774648892383,168.647096929558,169632600
2015-01-06,165.05392456054688,167.44935723130908,164.26094653071848,166.9289650053605,209151400
2015-01-07,167.11065673828125,167.44932502984875,165.9294644192436,166.3755058100245,125346700
2015-01-08,170.07601928710938,170.29079066750828,168.49834452192908,168.51485570199497,147217800
2015-01-09,168.71319580078125,170.50564292912694,168.1019414964393,170.48911913604712,158567300
2015-01-12,167.3915557861328,169.00229147312052,166.78856973022198,168.84534696175578,144396100
2015-01-13,166.9207305908203,169.729170120032,165.6238839596993,168.60579178755538,214553300
2015-01-14,165.91294860839844,166.1111962382504,164.02138464722543,164.91346747166824,192991100
2015-01-15,164.39306640625,166.86283654292797,164.27742512162916,166.54896025835984,176613900
2015-01-16,166.5490264892578,166.70597099593076,164.0049046119339,164.18662850345416,211879600
2015-01-20,166.90419006347656,167.44936168573867,165.3430259480595,167.18503146744484,130991100
2015-01-21,167.74671936035156,168.22580840656576,165.97905206760984,166.4416173249317,122942700
2015-01-22,170.2412567138672,170.37340919341256,167.12718468012818,168.49836906255456,174356000
2015-01-23,169.307861328125,170.24125991747914,169.17569624213647,169.98518533689273,117516800
2015-01-26,169.70437622070312,169.79523815908667,168.3827629216211,169.09313463881273,92009700
2015-01-27,167.46592712402344,168.6058168130193,166.63991389236418,167.6559066381958,134044600
2015-01-28,165.3182373046875,168.74618612993115,165.1282578484053,168.64706860560267,168514300
2015-01-29,166.84628295898438,167.10234483814244,164.11217077467825,165.51640222185085,173585400
2015-01-30,164.74827575683594,166.99503192642172,164.48395817427368,165.6734188056964,197729700
2015-02-02,166.78854370117188,166.87940563546837,163.4349329327051,165.24390342208943,163107000
2015-02-03,169.20050048828125,169.20876868484345,167.30893625739085,167.68063958790245,124212900
2015-02-04,168.5561981201172,169.64654124823144,168.10188848340294,168.44055681294967,134306700
2015-02-05,170.2578125,170.40650140888124,169.1427024012078,169.21704055366874,97953200
2015-02-06,169.78695678710938,171.18292062670562,169.26656461865574,170.62122529181084,125672000
2015-02-09,169.02703857421875,169.86130713891177,168.622287680321,169.1426798861956,87219000
2015-02-10,170.8277587890625,171.08382082082983,169.06834693936443,170.0595726937605,96164200
2015-02-11,170.9268798828125,171.35641021173268,170.01827306097127,170.66256225237188,91087800
2015-02-12,172.57064819335938,172.6284751578654,170.9599252358515,171.71985574390754,97545900
2015-02-13,173.281005859375,173.33056462266381,172.43846907159076,172.69454368851316,93670400
2015-02-17,173.5535888671875,173.72705713986363,172.7193202893553,172.9671141018099,76968200
2015-02-18,173.57012939453125,173.64446754543653,172.91757201491595,173.18190224563585,80652900
2015-02-19,173.44619750976562,173.80964522816615,172.83495598696246,172.9753766774431,91462500
2015-02-20,174.48695373535156,174.56129186467138,172.41365347753623,173.03316309644572,140896400
2015-02-23,174.46224975585938,174.46224975585938,173.85925105800962,174.23922266755932,74411100
2015-02-24,174.9578399658203,175.1560876554852,174.0905236539817,174.38788888649893,72472300
2015-02-25,174.8091278076172,175.3129962204007,174.47045946703403,174.83390718824936,73061700
2015-02-26,174.6026611328125,174.87524698081072,173.99966246725876,174.71830246796685,72697900
2015-02-27,174.00790405273438,174.76783451094943,173.95834528867053,174.50350429733115,108076000
2015-03-02,175.10647583007812,175.16429017790526,174.0574359382095,174.1069946946203,87491400
2015-03-03,174.38787841796875,175.15607714083993,173.52883035557673,174.67698803921306,110325800
2015-03-04,173.65269470214844,173.86746613042823,172.6862610867606,173.7931153877391,114497200
2015-03-05,173.84271240234375,174.12355381496485,173.3388439366605,173.9748649116038,76873000
2015-03-06,171.39767456054688,173.41314802743403,171.06727444635007,172.98361779581307,188128000
2015-03-09,172.10806274414062,172.46324227095045,171.43899425580943,171.5959387365701,89818900
2015-03-10,169.3161163330078,170.8277214133803,169.27481316828494,170.74512768789077,157121300
2015-03-11,168.9196319580078,169.7456448282181,168.8370256294043,169.57217657973325,110145700
2015-03-12,171.06732177734375,171.13339173529823,169.4978892907865,169.54744806123233,93993500
2015-03-13,170.0182647705078,171.75288458432593,168.98574847515465,170.7947190412468,162410900
2015-03-16,172.28976440429688,172.38062632334677,170.04300840956867,170.74512438440473,136099200
2015-03-17,171.77764892578125,172.15760780310515,170.96814720565243,171.5546219127697,94510400
2015-03-18,173.84271240234375,174.51178095757123,170.67081270488325,171.30684628378546,228808500
2015-03-19,173.0497589111328,173.85099269340574,172.6615317133733,173.4297305146279,117917300
2015-03-20,174.57717895507812,175.083296458346,173.81385647904116,173.99639149072578,177715100
2015-03-23,174.23699951171875,175.15796701554652,174.23699951171875,174.5854719915161,71784500
2015-03-24,173.25796508789062,174.56887998481383,173.19158756674477,174.1125550997898,77805300
2015-03-25,170.7191619873047,173.6977962586499,170.67768709250956,173.4654811428102,159521700
2015-03-26,170.31256103515625,171.22522364528578,169.358398223387,170.0553560026632,153067200
2015-03-27,170.70249938964844,170.87672931710654,170.0055416991604,170.19638183333447,118939000
2015-03-30,172.78506469726562,173.08375727229875,171.71475702185867,171.7313419103126,96180400
2015-03-31,171.27499389648438,172.66060427186957,171.21692146997367,171.963646532205,126768700
2015-04-01,170.6693572998047,171.26674255705095,169.6820118701832,171.24185255968422,137303600
2015-04-02,171.2833251953125,171.73135776912642,170.42042982765565,170.60296489926685,86900900
2015-04-06,172.4365997314453,172.95100982101852,170.26278918753715,170.39553160211617,114368200
2015-04-07,171.9802703857422,173.20822323643148,171.94708794554901,172.4614980599821,81236300
2015-04-08,172.56103515625,173.0007752267654,171.81431007882907,172.2042701655457,89351900
2015-04-09,173.32432556152344,173.5566405495446,171.90554564612407,172.39506560943883,85548900
2015-04-10,174.27020263671875,174.31169017357283,173.37413767380824,173.57325759435778,72722900
2015-04-13,173.48196411132812,174.75970915796123,173.4321841386416,174.1291290766868,74436600
2015-04-14,173.81387329101562,173.99640832035578,172.66059069303114,173.28286574935842,75099900
2015-04-15,174.59384155273438,175.0999592812793,174.19558892280122,174.2785640233061,99529300
2015-04-16,174.5440216064453,175.05013921914878,174.0627939861519,174.2619265856519,68934900
2015-04-17,172.5361328125,173.5981479249098,171.7562126949012,173.35754046703426,191113200
2015-04-20,174.1125946044922,174.4444696253035,173.37416192199962,173.4571243470922,92189500
2015-04-21,173.90512084960938,174.95053826659614,173.6064283504393,174.7928932447818,72559800
2015-04-22,174.75973510742188,174.94227014118775,173.3243448273341,174.24531243943684,78264600
2015-04-23,175.19947814941406,175.8466432219657,174.24531542741792,174.36147293633184,102585900
2015-04-24,175.60604858398438,175.87155873444283,175.1580160303617,175.6143536888242,61327400
2015-04-27,174.8758544921875,176.29463425600326,174.68501439653176,176.1701843329373,79358100
2015-04-28,175.4318084716797,175.48158845695426,173.6811405816105,174.85102087644302,86863500
2015-04-29,174.7099609375,175.30733337852325,173.90515080555448,174.5440107847622,125684900
2015-04-30,172.95925903320312,174.52739144939122,172.2623014458399,174.1374314558223,161304900
2015-05-01,174.8343963623047,174.87588389704135,173.63962625911066,173.7391862143041,103399700
2015-05-04,175.332275390625,175.91306307493306,175.14974030981077,175.25759274103953,70927200
2015-05-05,173.32432556152344,175.44836820377265,173.1832780802404,175.09159061917188,113326200
2015-05-06,172.61085510253906,174.17898825634953,171.54883966822416,173.87200317837147,135060200
2015-05-07,173.2994842529297,173.72263947585762,172.1793965303919,172.5112715607244,88244900
2015-05-08,175.5811309814453,175.78026356297747,174.884185936411,174.96716101043745,155877300
2015-05-11,174.7431182861328,175.80513327805429,174.66844832425178,175.53963586018259,75708100
2015-05-12,174.22039794921875,174.7597105314007,173.09200547199407,173.91341300842794,119727600
2015-05-13,174.25363159179688,175.24926925428832,174.02131655922287,174.62699413270371,94667900
2015-05-14,176.07064819335938,176.1619157026827,174.99203562687012,175.26583815484017,95934000
2015-05-15,176.26148986816406,176.40253736481634,175.7802622947641,176.26148986816406,76510100
2015-05-18,176.80908203125,177.05798191288406,176.02916197488247,176.09553949672417,74549700
2015-05-19,176.75100708007812,177.1990522131285,176.46891209125,176.92524966742405,72114600
2015-05-20,176.62655639648438,177.3732814015002,176.31126631603755,176.85056630185804,76857500
2015-05-21,177.14100646972656,177.34843153585038,176.31959865019664,176.48554883127272,64764600
2015-05-22,176.71783447265625,177.17415941398292,176.65145694332057,176.75930935079924,57433500
2015-05-26,174.81781005859375,176.65145286603982,174.4029600049852,176.22829770881899,124308600
2015-05-27,176.4772186279297,176.70953365613138,174.86759831808982,175.27415594755252,93214000
2015-05-28,176.278076171875,176.38592856818985,175.58942361904656,176.17021111534228,74974600
2015-05-29,175.182861328125,176.2531687810571,174.9173639056266,176.21169390832307,124919600
2015-06-01,175.53965759277344,176.17851755936138,174.75143236349666,175.84664258087983,93338800
2015-06-02,175.36544799804688,176.05410073518627,174.46107775032527,175.0833529472345,91531000
2015-06-03,175.8300018310547,176.45227675797386,175.34048192699674,175.8963793424853,87820900
2015-06-04,174.34487915039062,175.78025672160754,174.02958907362384,175.12479923909686,151882800
2015-06-05,174.04620361328125,174.71825870761285,173.39073340655372,174.19554356303513,121704700
2015-06-08,172.97592163085938,174.0877296972536,172.90125163944984,173.9383770542122,89063300
2015-06-09,172.9509735107422,173.49028614130725,172.32040602815917,172.9509735107422,105034700
2015-06-10,175.02529907226562,175.40696683161434,173.65629845895702,173.71437090437888,134551300
2015-06-11,175.58946228027344,175.97111729320704,175.23268460099652,175.46499965066585,73876400
2015-06-12,174.2452850341797,175.4649449951425,173.97148252659449,174.76800006322568,135382400
2015-06-15,173.4986114501953,173.7807064831923,172.40340109589576,173.1086513386087,124384200
2015-06-16,174.44444274902344,174.52741782155275,173.17500263268036,173.3492325606859,85308200
2015-06-17,174.72650146484375,175.3321915160813,173.70597411773852,174.72650146484375,126708600
2015-06-18,176.5435791015625,177.00820911307417,174.75972902303343,175.32391899123522,165867900
2015-06-19,175.75987243652344,176.37684161534378,175.38469380583308,176.3018084335659,130478700
2015-06-22,176.66033935546875,177.24395207329624,176.4519053332587,176.67701763935042,70696000
2015-06-23,176.78538513183594,177.1188871824413,176.39354089530357,176.8687638249379,68476800
2015-06-24,175.5014190673828,176.89375658989982,175.47640800639996,176.5185779533559,92307300
2015-06-25,174.96788024902344,176.126773063504,174.89284704391002,176.0017177216483,97107400
2015-06-26,174.9345245361328,175.5681594282429,174.38425562567184,175.32636882131126,104174800
2015-06-29,171.2660369873047,174.94281557284336,171.19100380518373,173.45876660249095,202621300
